,Journal title,Journal ISSN (print version),Journal EISSN (online version),APC amount,Currency
1920,Asian Journal of Surgery,1015-9584,,800.0,USD - US Dollar
1934,"Terrestrial, Atmospheric and Oceanic Sciences",1017-0839,2311-7680,400.0,USD - US Dollar
1937,Bulletin of the Iraq Natural History Museum,1017-8678,2311-9799,200000.0,IQD - Iraqi Dinar
1938,Acta Orthopaedica et Traumatologica Turcica,1017-995X,,200.0,EUR - Euro
1944,Journal of King Saud University: Science,1018-3647,,1250.0,USD - US Dollar
1947,In die Skriflig,1018-6441,2305-0853,629.0,ZAR - Rand
1950,Pharos Journal of Theology,1018-9556,2414-3324,2750.0,ZAR - Rand
1952,تحقيقات جغرافيايی,1019-7052,2538-4384,8000000.0,IRR - Iranian Rial
1953,Journal of the South African Veterinary Association,1019-9128,2224-9435,1209.0,ZAR - Rand
1957,Journal of Energy in Southern Africa,1021-447X,2413-3051,5000.0,ZAR - Rand
1961,Iranian Journal of Chemistry & Chemical Engineering ,1021-9986,,5000000.0,IRR - Iranian Rial
1968,Nonlinear Processes in Geophysics,1023-5809,1607-7946,1310.0,EUR - Euro
1969,International Journal of Rotating Machinery,1023-621X,1542-3034,1025.0,USD - US Dollar
1973,Mathematical Problems in Engineering,1024-123X,1563-5147,2100.0,USD - US Dollar
1974,Journal of Mechanical Engineering Research and Developments,1024-1752,,300.0,USD - US Dollar
1977,Hematology,1024-5332,1607-8454,1950.0,USD - US Dollar
1978,آب و فاضلاب,1024-5936,2383-0905,300000.0,IRR - Iranian Rial
1980,تحقیقات مالی,1024-8153,2423-5377,25.0,USD - US Dollar
1986,Health SA Gesondheid: Journal of Interdisciplinary Health Sciences,1025-9848,2071-9736,1236.0,ZAR - Rand
1989,Discrete Dynamics in Nature and Society,1026-0226,1607-887X,2100.0,USD - US Dollar
1990,‬‭Majallah-i ̒Ilmī-i Shīlāt-i Īrān,1026-1354,2322-5998,250000.0,IRR - Iranian Rial
1993,South African Journal of Chemical Engineering,1026-9185,,800.0,USD - US Dollar
1995,Revista Chapingo Serie Horticultura,1027-152X,2007-4034,200.0,USD - US Dollar
1998,Stellenbosch Papers in Linguistics,1027-3417,2223-9936,2500.0,ZAR - Rand
2001,Hydrology and Earth System Sciences,1027-5606,1607-7938,1600.0,EUR - Euro
2003,مجله دانشکده پزشکی اصفهان,1027-7595,1735-854X,2000000.0,IRR - Iranian Rial
2004,Dermatologica Sinica,1027-8117,2223-330X,70.0,USD - US Dollar
2016,Journal of Inequalities and Applications,,1029-242X,730.0,GBP - Pound Sterling
2033,Heteroatom Chemistry,1042-7163,1098-1071,1600.0,USD - US Dollar
2034,Oceanography,1042-8275,2377-617X,500.0,USD - US Dollar
2040,International Journal of Methods in Psychiatric Research,1049-8931,1557-0657,2400.0,USD - US Dollar
2043,NeuroImage,1053-8119,1095-9572,3000.0,USD - US Dollar
2045,Journal of Applied Poultry Research,1056-6171,1537-0437,2000.0,USD - US Dollar
2048,Scientific Programming ,1058-9244,1875-919X,1600.0,USD - US Dollar
2050,Bulletin of the History of Archaeology,1062-4740,2047-6930,300.0,GBP - Pound Sterling
2051,HortTechnology,1063-0198,1943-7714,2500.0,USD - US Dollar
2052,Infectious Diseases in Obstetrics and Gynecology,1064-7449,1098-0997,775.0,USD - US Dollar
2057,Agricultural and Resource Economics Review,1068-2805,2372-2614,1500.0,USD - US Dollar
2058,Journal of Agricultural and Resource Economics,1068-5502,2327-8285,1691.0,USD - US Dollar
2060,Journal of Hymenoptera Research,1070-9428,1314-2607,150.0,EUR - Euro
2061,Shock and Vibration,1070-9622,1875-9203,2100.0,USD - US Dollar
2062,Drug Delivery,1071-7544,1521-0464,1950.0,USD - US Dollar
2065,Cancer Control,1073-2748,1526-2359,2200.0,USD - US Dollar
2067,Clinical and Applied Thrombosis/Hemostasis,1076-0296,1938-2723,2200.0,USD - US Dollar
2068,Molecular Medicine,1076-1551,1528-3658,1990.0,GBP - Pound Sterling
2070,Complexity,1076-2787,1099-0526,2100.0,USD - US Dollar
2078,Journal of Orthoptera Research,1082-6467,1937-2426,150.0,USD - US Dollar
2079,Journal of Biomedical Optics,1083-3668,1560-2281,1675.0,USD - US Dollar
2080,Abstract and Applied Analysis,1085-3375,1687-0409,975.0,USD - US Dollar
2086,Medical Education Online,,1087-2981,1950.0,USD - US Dollar
2087,Global Business and Finance Review ,1088-6931,2384-1648,500.0,USD - US Dollar
2093,International Journal of Food Properties,1094-2912,1532-2386,1950.0,USD - US Dollar
2095,Optics Express,,1094-4087,2480.0,USD - US Dollar
2099,International Food and Agribusiness Management Review,1096-7508,1559-2448,1000.0,EUR - Euro
2100,Journal of Cardiovascular Magnetic Resonance,1097-6647,1532-429X,1600.0,GBP - Pound Sterling
2101,Journal of Clinical Laboratory Analysis,,1098-2825,2000.0,USD - US Dollar
2103,Entropy,,1099-4300,1600.0,CHF - Swiss Franc
2111,Alexandria Engineering Journal,1110-0168,,650.0,USD - US Dollar
2118,Egyptian Journal of Anaesthesia,1110-1849,1687-1804,350.0,USD - US Dollar
2121,Arab Universities Journal of Agricultural Sciences,1110-2675,2636-3585,200.0,USD - US Dollar
2124,Egyptian Journal of Aquatic Biology and Fisheries ,1110-6131,,100.0,USD - US Dollar
2126,International Journal of Photoenergy,1110-662X,1687-529X,1600.0,USD - US Dollar
2128,Journal of Biomedicine and Biotechnology,1110-7243,1110-7251,2200.0,USD - US Dollar
2129,Journal of Applied Mathematics,1110-757X,1687-0042,975.0,USD - US Dollar
2132,Egyptian Informatics Journal,1110-8665,,800.0,USD - US Dollar
2139,Journal of Electrical Systems,1112-5209,,100.0,USD - US Dollar
2146,Nigerian Journal of Surgery,1117-6806,2278-7100,5000.0,INR - Indian Rupee
2147,Italian Journal of Food Science,1120-1770,,1100.0,USD - US Dollar
2152,European Journal of Histochemistry ,1121-760X,2038-8306,950.0,EUR - Euro
2160,Archivio Italiano di Urologia e Andrologia,1124-3562,2282-4197,200.0,EUR - Euro
2162,Italian Journal of Agronomy,1125-4718,2039-6805,400.0,EUR - Euro
2165,Global Bioethics,1128-7462,1591-7398,330.0,GBP - Pound Sterling
2167,The Journal of Headache and Pain,1129-2369,1129-2377,1990.0,GBP - Pound Sterling
2168,Journal of Limnology,1129-5767,1723-8633,600.0,EUR - Euro
2205,Revista de Psicología del Deporte,1132-239X,1988-5636,300.0,EUR - Euro
2287,Drugs in R&D,1174-5886,1179-6901,3000.0,USD - US Dollar
2289,Applied Bionics and Biomechanics ,1176-2322,1754-2103,1600.0,USD - US Dollar
2291,Neuropsychiatric Disease and Treatment,1176-6328,1178-2021,2310.0,USD - US Dollar
2292,Therapeutics and Clinical Risk Management,1176-6336,1178-203X,2310.0,USD - US Dollar
2293,Vascular Health and Risk Management,1176-6344,1178-2048,1958.0,USD - US Dollar
2294,Clinical Interventions in Aging,1176-9092,1178-1998,2310.0,USD - US Dollar
2295,International Journal of COPD,1176-9106,1178-2005,2310.0,USD - US Dollar
2296,International Journal of Nanomedicine,1176-9114,1178-2013,2310.0,USD - US Dollar
2297,Evolutionary Bioinformatics,,1176-9343,2000.0,USD - US Dollar
2298,Cancer Informatics,,1176-9351,1848.0,USD - US Dollar
2300,Biomarker Insights,,1177-2719,1848.0,USD - US Dollar
2301,Drug Target Insights,,1177-3928,1500.0,EUR - Euro
2302,Clinical Ophthalmology,1177-5467,1177-5483,1958.0,USD - US Dollar
2303,Biologics : Targets & Therapy,1177-5475,1177-5491,1958.0,USD - US Dollar
2304,"Drug Design, Development and Therapy",,1177-8881,2310.0,USD - US Dollar
2305,Patient Preference and Adherence,1177-889X,,2310.0,USD - US Dollar
2306,"Nanotechnology, Science and Applications",1177-8903,,1958.0,USD - US Dollar
2307,Bioinformatics and Biology Insights,,1177-9322,1848.0,USD - US Dollar
2308,Clinical Medicine: Pediatrics,,1178-220X,1500.0,USD - US Dollar
2309,Substance Abuse: Research and Treatment ,,1178-2218,1500.0,USD - US Dollar
2310,Breast Cancer: Basic and Clinical Research,,1178-2234,1500.0,USD - US Dollar
2311,Palliative Care,,1178-2242,1500.0,USD - US Dollar
2312,Journal of Multidisciplinary Healthcare,1178-2390,,1958.0,USD - US Dollar
2313,International Journal on Smart Sensing and Intelligent Systems,,1178-5608,500.0,USD - US Dollar
2314,"Air, Soil and Water Research",,1178-6221,1699.0,USD - US Dollar
2315,Environmental Health Insights,,1178-6302,1500.0,USD - US Dollar
2316,Health Services Insights,,1178-6329,1500.0,USD - US Dollar
2317,Infectious Diseases,,1178-6337,1500.0,USD - US Dollar
2318,Microbiology Insights,,1178-6361,1500.0,USD - US Dollar
2319,Nutrition and Metabolic Insights,,1178-6388,1500.0,USD - US Dollar
2320,International Journal of Tryptophan Research,,1178-6469,750.0,USD - US Dollar
2321,OncoTargets and Therapy,,1178-6930,2310.0,USD - US Dollar
2322,Advances and Applications in Bioinformatics and Chemistry,1178-6949,,1958.0,USD - US Dollar
2323,Stem Cells and Cloning : Advances and Applications,,1178-6957,1958.0,USD - US Dollar
2324,Journal of Asthma and Allergy,,1178-6965,1958.0,USD - US Dollar
2325,Infection and Drug Resistance,,1178-6973,1958.0,USD - US Dollar
2326,ClinicoEconomics and Outcomes Research,1178-6981,,1958.0,USD - US Dollar
2327,"Diabetes, Metabolic Syndrome and Obesity : Targets and Therapy",,1178-7007,1958.0,USD - US Dollar
2328,"Clinical, Cosmetic and Investigational Dermatology",,1178-7015,1958.0,USD - US Dollar
2329,Clinical and Experimental Gastroenterology,1178-7023,,1958.0,USD - US Dollar
2330,Journal of Inflammation Research,,1178-7031,1958.0,USD - US Dollar
2331,The Application of Clinical Genetics,,1178-704X,1958.0,USD - US Dollar
2332,International Journal of Nephrology and Renovascular Disease,,1178-7058,1958.0,USD - US Dollar
2333,Pharmacogenomics and Personalized Medicine,,1178-7066,1958.0,USD - US Dollar
2334,International Journal of General Medicine,1178-7074,,1958.0,USD - US Dollar
2335,Open Access Surgery,,1178-7082,1780.0,USD - US Dollar
2336,Journal of Pain Research,,1178-7090,1958.0,USD - US Dollar
2337,Integrated Blood Pressure Control,,1178-7104,1958.0,USD - US Dollar
2338,Local and Regional Anesthesia,,1178-7112,1958.0,USD - US Dollar
2340,Journal of Experimental Neuroscience,,1179-0695,1500.0,USD - US Dollar
2342,Breast Cancer : Targets and Therapy,,1179-1314,1958.0,USD - US Dollar
2343,Cancer Management and Research,,1179-1322,1958.0,USD - US Dollar
2344,Cell Health and Cytoskeleton,,1179-1330,1780.0,USD - US Dollar
2345,Clinical Epidemiology,,1179-1349,2310.0,USD - US Dollar
2346,"Clinical, Cosmetic and Investigational Dentistry",,1179-1357,1958.0,USD - US Dollar
2347,"Drug, Healthcare and Patient Safety",,1179-1365,1958.0,USD - US Dollar
2348,HIV/AIDS : Research and Palliative Care,1179-1373,,1958.0,USD - US Dollar
2349,International Journal of Wine Research,,1179-1403,1780.0,USD - US Dollar
2350,International Journal of Women's Health,,1179-1411,1958.0,USD - US Dollar
2351,International Medical Case Reports Journal,1179-142X,,1958.0,USD - US Dollar
2352,Clinical Pharmacology : Advances and Applications,1179-1438,,1958.0,USD - US Dollar
2353,Orthopedic Research and Reviews,,1179-1462,1780.0,USD - US Dollar
2354,Medical Devices : Evidence and Research,,1179-1470,1958.0,USD - US Dollar
2355,Nutrition and Dietary Supplements,,1179-1489,1780.0,USD - US Dollar
2356,Open Access Emergency Medicine,,1179-1500,1780.0,USD - US Dollar
2357,Open Access Journal of Clinical Trials,,1179-1519,1780.0,USD - US Dollar
2358,Open Access Journal of Contraception,,1179-1527,1780.0,USD - US Dollar
2359,Hepatic Medicine : Evidence and Research,,1179-1535,1958.0,USD - US Dollar
2360,Open Access Journal of Sports Medicine,,1179-1543,1958.0,USD - US Dollar
2361,Open Access Rheumatology : Research and Reviews,,1179-156X,1780.0,USD - US Dollar
2362,Psychology Research and Behavior Management,,1179-1578,1958.0,USD - US Dollar
2363,Reports in Medical Imaging,,1179-1586,1780.0,USD - US Dollar
2364,Risk Management and Healthcare Policy,,1179-1594,1958.0,USD - US Dollar
2365,Nature and Science of Sleep,,1179-1608,1958.0,USD - US Dollar
2366,Transplant Research and Risk Management,1179-1616,,1780.0,USD - US Dollar
2367,Virus Adaptation and Treatment,,1179-1624,1780.0,USD - US Dollar
2369,Tobacco Use Insights ,,1179-173X,1848.0,USD - US Dollar
2370,Genetics and Epigenetics,,1179-237X,1500.0,USD - US Dollar
2371,Pathology and Laboratory Medicine International,,1179-2698,1780.0,USD - US Dollar
2372,Patient Related Outcome Measures,,1179-271X,1958.0,USD - US Dollar
2373,Lung Cancer : Targets and Therapy,,1179-2728,1780.0,USD - US Dollar
2374,Journal of Blood Medicine,,1179-2736,1958.0,USD - US Dollar
2375,Eye and Brain,,1179-2744,1780.0,USD - US Dollar
2376,Clinical Optometry,1179-2752,,1780.0,USD - US Dollar
2377,"Adolescent Health, Medicine and Therapeutics",,1179-318X,1958.0,USD - US Dollar
2378,Patient Intelligence,,1179-3198,1780.0,USD - US Dollar
2379,Journal of Healthcare Leadership,,1179-3201,1780.0,USD - US Dollar
2381,Clinical Medicine Insights: Arthritis and Musculoskeletal Disorders,,1179-5441,1848.0,USD - US Dollar
2382,Clinical Medicine Insights: Blood Disorders,,1179-545X,1848.0,USD - US Dollar
2383,Clinical Medicine Insights: Cardiology,,1179-5468,1200.0,USD - US Dollar
2384,Clinical Medicine Insights: Case Reports,,1179-5476,1848.0,USD - US Dollar
2385,"Clinical Medicine Insights: Circulatory, Respiratory and Pulmonary Medicine",,1179-5484,1500.0,USD - US Dollar
2386,Clinical Medicine Insights: Endocrinology and Diabetes,,1179-5514,1500.0,USD - US Dollar
2387,Clinical Medicine Insights: Gastroenterology,,1179-5522,2000.0,USD - US Dollar
2388,Clinical Medicine Insights: Oncology,,1179-5549,2000.0,USD - US Dollar
2389,Clinical Medicine Insights: Pathology,,1179-5557,1848.0,USD - US Dollar
2390,Clinical Medicine Insights: Pediatrics,,1179-5565,1500.0,USD - US Dollar
2391,Clinical Medicine Insights: Reproductive Health,,1179-5581,1500.0,USD - US Dollar
2392,Rehabilitation Process and Outcome,,1179-5727,1500.0,USD - US Dollar
2393,Journal of Central Nervous System Disease,,1179-5735,1500.0,USD - US Dollar
2394,Biomedical Engineering and Computational Biology,,1179-5972,1848.0,USD - US Dollar
2395,Advances in Medical Education and Practice,,1179-7258,1958.0,USD - US Dollar
2396,Research and Reports in Biology,,1179-7274,1780.0,USD - US Dollar
2397,Research and Reports in Tropical Medicine,,1179-7282,1780.0,USD - US Dollar
2399,Substance Abuse and Rehabilitation,,1179-8467,1958.0,USD - US Dollar
2400,Research Reports in Clinical Cardiology,,1179-8475,1780.0,USD - US Dollar
2401,Comparative Effectiveness Research,,1179-8483,1780.0,USD - US Dollar
2403,Advances in Genomics and Genetics,,1179-9870,1780.0,USD - US Dollar
2404,Blood and Lymphatic Cancer : Targets and Therapy,,1179-9889,1780.0,USD - US Dollar
2405,Botanics : Targets and Therapy,1179-9897,,1780.0,USD - US Dollar
2406,Gastrointestinal Cancer : Targets and Therapy,,1179-9919,1780.0,USD - US Dollar
2407,"Pediatric Health, Medicine and Therapeutics",,1179-9927,1780.0,USD - US Dollar
2408,Research and Reports in Neonatology,,1179-9935,1780.0,USD - US Dollar
2409,Canadian Journal of Infectious Diseases,1180-2332,,1600.0,USD - US Dollar
2413,Canadian Respiratory Journal ,1198-2241,1916-7245,1600.0,USD - US Dollar
2416,International Journal of Infectious Diseases,1201-9712,1878-3511,1750.0,USD - US Dollar
2417,Pain Research and Management,1203-6765,1918-1523,1900.0,USD - US Dollar
2422,Radioengineering,1210-2512,1805-9600,400.0,EUR - Euro
2435,Czech Journal of Food Sciences,1212-1800,1805-9317,320.0,EUR - Euro
2436,Czech Journal of Animal Science,1212-1819,1805-9309,320.0,EUR - Euro
2437,Czech Journal of Genetics and Plant Breeding,1212-1975,1805-9325,320.0,EUR - Euro
2438,Plant Protection Science,1212-2580,1805-9341,320.0,EUR - Euro
2439,Kontakt,1212-4117,1804-7122,50.0,EUR - Euro
2449,Biomedical Papers,1213-8118,1804-7521,12000.0,CZK - Czech Koruna
2450,Journal of Applied Biomedicine,1214-021X,1214-0287,300.0,EUR - Euro
2451,"Plant, Soil and Environment",1214-1178,1805-9368,320.0,EUR - Euro
2461,Revista Medicală Română,1220-5478,2069-606X,880.0,RON - Romanian Leu
2494,한국해양공학회지,1225-0767,2287-6715,150000.0,KRW - Won
2495,대한환경공학회지,1225-5025,2383-7810,15000.0,KRW - Won
2496,Uisahak,1225-505X,2093-5609,100000.0,KRW - Won
2498,Seuteureseu Yeon-gu,1225-665X,2234-1668,300000.0,KRW - Won
2499,Adonghakoeji ,1226-1688,2234-408X,200000.0,KRW - Won
2501,The Korean Journal of Internal Medicine,1226-3303,2005-6648,500.0,USD - US Dollar
2502,Experimental and Molecular Medicine,1226-3613,2092-6413,2100.0,GBP - Pound Sterling
2504,Journal of Rhinology,1229-1498,2384-4361,66000.0,KRW - Won
2505,Mycobiology,1229-8093,2092-9323,1500.0,USD - US Dollar
2506,Journal of Veterinary Science,1229-845X,1976-555X,300.0,USD - US Dollar
2510,Archives of Civil Engineering,1230-2945,2300-3103,300.0,EUR - Euro
2513,International Journal of Occupational Medicine and Environmental Health,1232-1087,1896-494X,650.0,EUR - Euro
2514,Annals of Agricultural and Environmental Medicine,1232-1966,1898-2263,65.0,EUR - Euro
2520,Acta Agrophysica,1234-4125,2300-6730,350.0,EUR - Euro
2530,Parasite,1252-607X,1776-1042,1500.0,EUR - Euro
2568,Kafkas Universitesi Veteriner Fakultesi Dergisi,1300-6045,1309-2251,250.0,USD - US Dollar
2571,Mathematical and Computational Applications,1300-686X,2297-8747,1000.0,CHF - Swiss Franc
2612,Journal of Sports Science and Medicine,1303-2968,,1200.0,EUR - Euro
2636,International Electronic Journal of Elementary Education,,1307-9298,350.0,USD - US Dollar
2646,JCRPE,1308-5727,1308-5735,100.0,USD - US Dollar
2648,Yüzüncü Yil Üniversitesi Tarim Bilimleri Dergisi,1308-7576,1308-7584,120.0,TRY - Turkish Lira
2660,İşletme Araştırmaları Dergisi,1309-0712,,150.0,USD - US Dollar
2681,Biotechnology & Biotechnological Equipment,1310-2818,1314-3530,1000.0,USD - US Dollar
2683,Balkan Journal of Medical Genetics,1311-0160,,250.0,EUR - Euro
2685,Екологично инженерство и опазване на околната среда,1311-8668,2367-8429,25.0,EUR - Euro
2687,Journal of IMAB,,1312-773X,150.0,EUR - Euro
2690,ZooKeys,1313-2989,1313-2970,700.0,EUR - Euro
2697,PhytoKeys,1314-2011,1314-2003,700.0,EUR - Euro
2698,Biodiversity Data Journal,,1314-2828,450.0,EUR - Euro
2699,Mathematica Æterna,1314-3336,1314-3344,100.0,EUR - Euro
2701,MycoKeys,1314-4057,1314-4049,900.0,EUR - Euro
2707,Nature Conservation,1314-6947,1314-3301,800.0,EUR - Euro
2729,Saudi Pharmaceutical Journal,1319-0164,,1250.0,USD - US Dollar
2731,Journal of Family and Community Medicine,1319-1683,2229-340X,200.0,USD - US Dollar
2734,Saudi Journal of Biological Sciences,1319-562X,,1250.0,USD - US Dollar
2735,Journal of Saudi Chemical Society,1319-6103,,1250.0,USD - US Dollar
2738,Australian and New Zealand Journal of Public Health,1326-0200,1753-6405,1500.0,USD - US Dollar
2752,Tehnički Vjesnik,1330-3651,1848-6339,400.0,EUR - Euro
2766,Ekonomska Istraživanja,1331-677X,1848-9664,750.0,EUR - Euro
2767,Zbornik radova Ekonomskog fakulteta u Rijeci : časopis za ekonomsku teoriju i praksu,1331-8004,1846-7520,285.0,EUR - Euro
2788,Measurement Science Review,,1335-8871,35.0,EUR - Euro
2792,Civil and Environmental Engineering,1336-5835,2199-6512,60.0,EUR - Euro
2830,Acta Logistica,,1339-5629,100.0,EUR - Euro
2838,DNA Research,1340-2838,1756-1663,420.0,GBP - Pound Sterling
2839,Journal of Occupational Health,1341-9145,1348-9585,1500.0,USD - US Dollar
2840,Environmental Health and Preventive Medicine,1342-078X,1347-4715,1370.0,GBP - Pound Sterling
2841,"Earth, Planets and Space",1343-8832,1880-5981,1200.0,EUR - Euro
2842,Plant Production Science,1343-943X,1349-1008,135000.0,JPY - Yen
2843,Journal of Asian Architecture and Building Engineering,,1347-2852,1200.0,USD - US Dollar
2844,Journal of Pharmacological Sciences,1347-8613,,100000.0,JPY - Yen
2845,e-Journal of Surface Science and Nanotechnology,,1348-0391,10000.0,JPY - Yen
2847,Journal of Pesticide Science,1348-589X,1349-0923,50000.0,JPY - Yen
2848,Tropical Medicine and Health,1348-8945,1349-4147,705.0,GBP - Pound Sterling
2849,SOLA,,1349-6476,100000.0,JPY - Yen
2850,Cancer Science,,1349-7006,2250.0,USD - US Dollar
2851,Redox Report,1351-0002,1743-2928,1950.0,USD - US Dollar
